setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,rotation,flip,resolution,linebreak2,players,joystick,special_controls,buttons,linebreak3
dkongbcc,Donkey Kong (Barrel Control Coloring) [hb],,Barrel Control Coloring,yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkonghrd,Donkey Kong (Hard),,Hard,yes,Donkey Kong,,Donkey Kong,no,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkongj,"Donkey Kong (JP, Set 1)",Japan,Set 1,yes,Donkey Kong,,Donkey Kong,no,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkongjo,"Donkey Kong (JP, Set 2)",Japan,Set 2,yes,Donkey Kong,,Donkey Kong,no,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkongjo1,"Donkey Kong (JP, Set 3)",Japan,Set 3,yes,Donkey Kong,,Donkey Kong,no,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkongpac,Donkey Kong (Pac-Man GFX) [hb],,Pac-Man GFX,yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkongp,Donkey Kong (Patched) [hb],,Patched,yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkongpe,"Donkey Kong (Pauline, Rev 5) [hb]",,"Pauline, Rev 5",yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkrdemo,"Donkey Kong (Remix, Rev 1.8) [hb]",,"Remix, Rev 1.8",yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongdks,"Donkey Kong (Spanish, Crazy Kong) [bl]",,"Spanish, Crazy Kong",yes,Donkey Kong,,Donkey Kong,no,yes,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkong,"Donkey Kong (US, Set 1)",USA,Set 1,no,,,Donkey Kong,no,no,1981,Nintendo,Platform - Climb,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
dkongo,"Donkey Kong (US, Set 2)",USA,Set 2,yes,Donkey Kong,,Donkey Kong,no,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkong3,Donkey Kong 3 (US),USA,,no,,,Donkey Kong,no,no,1983,Nintendo,Platform - Climb,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
dkong3b,Donkey Kong 3 [bl],,,yes,Donkey Kong 3,,Donkey Kong,no,yes,1984,,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkongf,"Donkey Kong Foundry (Foundry, Hack) [hb]",,"Foundry, Hack",yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkongex,Donkey Kong Foundry (Foundry) [hb],,Foundry,yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkfreerun,Donkey Kong Freerun Edition (Freerun) [hb],,Freerun,yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkongjr,"Donkey Kong Junior (US, Set F-2)",USA,Set F-2,no,,,Donkey Kong,no,no,1982,Nintendo,Platform - Climb,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
dkpace,Donkey Kong Pace (Pace) [hb],,Pace,yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkongrev,Donkey Kong Reverse [hb],,,yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dktrainer,Donkey Kong Trainer (v1.01) [hb],,v1.01,yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dorodon,Dorodon (Set 1),,Set 1,no,,,,no,no,1982,UPL,Maze,,vertical (ccw),no,15kHz,,2 (alternating),4-way,,0,
dorodon2,Dorodon (Set 2),,Set 2,yes,Dorodon,,,no,no,1982,UPL,Maze,,vertical (ccw),no,15kHz,,2 (alternating),4-way,,0,
dotrikun,Dottori-Kun (New),,New,no,,Dottori-Kun,,no,no,1990,Sega,Maze,,horizontal,no,15kHz,,1,8-way,,2,
dotrikun,Dottori-Kun (Old),,Old,no,,Dottori-Kun,,no,no,1990,Sega,Maze,,horizontal,no,15kHz,,1,8-way,,2,
dotrikun,Dottori-Man Jr [hb],,,no,,Dottori-Kun,,yes,no,1990,Chris Covell,Maze,,horizontal,no,15kHz,,1,8-way,,2,
dremshpr,Dream Shopper,,,no,,,,no,no,1982,Sanritsu,Maze,,vertical (ccw),yes,15kHz,,2 (alternating),4-way,,1,
eeekkp,Eeek! (Pac-Man Conversion),,Pac-Man Conversion,no,,,,no,no,1984,Epos Corporation,Platform - Climb,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
eggor,Eggor,,,no,,,,no,no,1983,Telko,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
eltonpac,Elton Pac [hb],,,yes,Pac-Man,,Pac-Man,yes,no,1980,Marcel Silvius,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
espradej,ESP Ra.De,Japan,,no,,CAVE 68000,,no,no,1998,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
espradej,ESP Ra.De,World,,no,,CAVE 68000,,no,no,1998,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
europac,Euro Pac [hb],,,yes,Pac-Man,,Pac-Man,yes,no,1980,Stefano Priore,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
ebases,Extra Bases,,,no,,,,no,no,1980,Dave Nutting Associates / Midway,Sports,,horizontal,,15kHz,,2 (simultaneous),,trackball,1,
eyeszac,Eyes (IT),Italy,,yes,Eyes,,,no,no,1982,Tehstar / Rock-Ola,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
eyes,"Eyes (US, Set 1)",USA,Set 1,no,,,,no,no,1982,Tehstar / Rock-Ola,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
eyes2,"Eyes (US, Set 2)",USA,Set 2,yes,Eyes,,,no,no,1982,Tehstar / Rock-Ola,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
falcon,Falcon (8085A CPU) [bl],,8085A CPU,yes,Phoenix,,,no,yes,1980,,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
fantzn2,"Fantasy Zone II - The Tears of Opa-Opa (MC-8123, 317-0057)",Japan,"MC8123, 317-0057",no,,Sega System E,,no,no,1988,Sega,Shooter - Horizontal,,horizontal,,15kHz,,1,8-way,,2,
fenixn,Fenix (Niemer) [bl],,Niemer,yes,Phoenix,,,no,yes,1980,Niemer,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
dfeveron,Fever SOS,World,,yes,Dangun Feveron,CAVE 68000,,no,no,1998,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
flicky,"Flicky (128k Version, 315-5051)",,"128k Version, 315-5051",no,,Sega System 1,,no,no,1984,Sega,Platform,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,1,
foodfc,Food Fight (Cocktail),,Cocktail,yes,Food Fight,,,no,no,1982,General Computer Corporation / Atari,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,1,
foodf1,Food Fight (Rev 1),,Rev 1,yes,Food Fight,,,no,no,1982,General Computer Corporation / Atari,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,1,
foodf2,Food Fight (Rev 2),,Rev 2,yes,Food Fight,,,no,no,1982,General Computer Corporation / Atari,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,1,
foodf,Food Fight (Rev 3),,Rev 3,no,,,,no,no,1982,General Computer Corporation / Atari,Shooter - Multidirectional,,horizontal,,15kHz,,2 (alternating),8-way,,1,
frenzy,Frenzy (Rev RA1),,Rev RA1,no,,,,no,no,1981,Stern,Shooter - Multidirectional,,horizontal,,15kHz,,2 (alternating),8-way,,1,
frogger,Frogger (Konami Bugfixed),,Konami Bugfixed,no,,,,no,no,1981,Konami,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,0,
frogger,"Frogger (Sega, Set 2)",,"Sega, Set 2",no,,,,no,no,1981,Konami,Platform - Climb,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
futurespy,Future Spy,,,no,,,,,,1982,Sega/Gremlin,Shooter - Isometric,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,2,
galagaef,Galaga (Enduring Freedom) [hb],,,yes,Galaga,,Galaga,yes,no,1981,Namco / Midway,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galagamf,"Galaga (Fast Shoot, Set 1)",,"Fast Shoot, Set 1",yes,Galaga,,Galaga,no,no,1981,Namco / Midway,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galagads,Galaga (Fast Shoot) [hb],,Fast Shoot,yes,Galaga,,Galaga,yes,no,1981,Namco / Midway,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galagamw,"Galaga (Midway, Set 1)",,"Midway, Set 1",no,,,Galaga,no,no,1981,Namco / Midway,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaga,Galaga (Namco Rev. B),,Namco Rev. B,yes,Galaga,,Galaga,no,no,1981,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaga,Galaga (Namco),,Namco,yes,Galaga,,Galaga,no,no,1981,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaga3a,Galaga 3 (GP3 Rev C),,GP3 Rev C,yes,Gaplus,,Galaga,no,no,1984,Namco,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
galaga3,Galaga 3 (GP3 Rev D),,GP3 Rev D,yes,Gaplus,,Galaga,no,no,1984,Namco,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
galaga3b,Galaga 3 (GP3),,GP3,yes,Gaplus,,Galaga,no,no,1984,Namco,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
galaga3c,Galaga 3 (Set 4),,Set 4,yes,Gaplus,,Galaga,no,no,1984,Namco,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
galaga3m,Galaga 3 (Set 5),,Set 5,yes,Gaplus,,Galaga,no,no,1984,Namco,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
galagost,Galaga Ghost (Set 1) [hb],,Set 1,yes,Galaga,,Galaga,yes,no,1981,Namco / Midway,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galagosb,Galaga Ghost (Set 2) [hb],,Set 2,yes,Galaga,,Galaga,yes,no,1981,Namco / Midway,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galgaxin,Galagalaxian [hb],,,yes,Galaga,,Galaxian,yes,no,1979,Namco / Midway,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaped,Galapede (Fast Shoot) [hb],,Fast Shoot,yes,Galaga,,Galaxian,yes,no,1980,Namco / Midway,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
buglaxn,Galaxian (Bug Sprites) [hb],,Bug Sprites,yes,Galaxian,,Galaxian,yes,no,1979,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaxiabh,Galaxian (Edition) [hb],,Edition,yes,Galaxian,,Galaxian,yes,no,1979,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaxiani,Galaxian (Irem),,Irem,yes,Galaxian,,Galaxian,no,no,1979,Namco / Irem,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaxkyo,Galaxian (Kyoko) [hb],,Kyoko,yes,Galaxian,,Galaxian,yes,no,1979,Namco / Kyoko,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaxian,"Galaxian (Namco, Set 1)",,"Namco, Set 1",no,,,Galaxian,no,no,1979,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaxni,Galaxian (New Invasion) [hb],,New Invasion,yes,Galaxian,,Galaxian,yes,no,1979,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaxianm,Galaxian (Set 1),,Set 1,yes,Galaxian,,Galaxian,no,no,1979,Namco / Midway,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaxbsf,Galaxian (Set 1) [bl],,Set 1,yes,Galaxian,,Galaxian,no,yes,1979,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaxianmo,Galaxian (Set 2),,Set 2,yes,Galaxian,,Galaxian,no,no,1979,Namco / Midway,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaxianbl,Galaxian (Set 2) [bl],,Set 2,yes,Galaxian,,Galaxian,no,yes,1979,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaxbsf2,Galaxian (Set 3) [bl],,Set 3,yes,Galaxian,,Galaxian,no,yes,1979,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaxianbl2,Galaxian (Set 4) [bl],,Set 4,yes,Galaxian,,Galaxian,no,yes,1979,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaxrf,Galaxian (Spanish) [bl],,Spanish,yes,Galaxian,,Galaxian,no,yes,1979,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galaxiant,Galaxian (Taito),,Taito,yes,Galaxian,,Galaxian,no,no,1979,Namco / Taito,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galap4,Galaxian Part 4 [hb],,,yes,Galaxian,,Galaxian,yes,no,1979,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galapx,Galaxian Part X (Moonaln) [hb],,Moonaln,yes,Galaxian,,Galaxian,yes,no,1979,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galturbo,Galaxian Turbo (Superg),,Superg,yes,Galaxian,,Galaxian,no,no,1979,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galemp,Galaxy Empire [bl],,,yes,UniWar S,,Galaxian,no,yes,1980,Taito,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
galxwars,"Galaxy Wars (Universal, Set 1)",,"Universal, Set 1",no,,,Galaxian,no,no,1979,Universal,Shooter - Gallery,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
gaous,Gaous [hb],,,yes,Xevious,,,yes,no,1982,Namco,Shooter - Vertical,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
gaplus,Gaplus (GP2 Rev B),,GP2 Rev B,no,,,Galaxian,no,no,1984,Namco,Shooter - Vertical,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
gaplusa,Gaplus (GP2),,GP2,yes,Gaplus,,Galaxian,no,no,1984,Namco,Shooter - Vertical,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
gaplust,Gaplus (Tecfri PCB),,Tecfri PCB,yes,Gaplus,,Galaxian,no,no,1984,Namco,Shooter - Vertical,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
gardia,Gardia (317-0006),,317-0006,no,,Sega System 1,,no,no,1986,Sega / Coreland,Shooter - Vertical,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,2,
gardia,"Gardia (Japanese, 317-0006)",Japan,317-0006,yes,Gardia,Sega System 1,,no,no,1986,Sega / Coreland,Shooter - Vertical,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,2,
gatsbee,Gatsbee,,,yes,Galaga,,,no,no,1984,Uchida,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,1,
gauntlet2pr3,"Gauntlet (2 Players, Rev 3)",,"2 Players, Rev 3",yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntlet2p,"Gauntlet (2 Players, Rev 6)",,"2 Players, Rev 6",yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntlet2pg1,"Gauntlet (DE, 2 Player, Rev 1)",Germany,"2 Player, Rev 1",yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntlet2pg,"Gauntlet (DE, 2 Players, Rev 4)",Germany,"2 Players, Rev 4",yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntletg,"Gauntlet (DE, Rev 10)",Germany,Rev 10,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntletgr3,"Gauntlet (DE, Rev 3)",Germany,Rev 3,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntletgr6,"Gauntlet (DE, Rev 6)",Germany,Rev 6,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntletgr8,"Gauntlet (DE, Rev 8)",Germany,Rev 8,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntletr8,"Gauntlet (DE, Rev 8)",Germany,Rev 8,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntlets,"Gauntlet (ES, Rev 15)",Spain,Rev 15,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntlet2pj2,"Gauntlet (JP, 2 Players, Rev 2)",Japan,"2 Players, Rev 2",yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntlet2pj,"Gauntlet (JP, 2 Players, Rev 5)",Japan,"2 Players, Rev 5",yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntletj12,"Gauntlet (JP, Rev 12)",Japan,Rev 12,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntletj,"Gauntlet (JP, Rev 13)",Japan,Rev 13,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntletr1,Gauntlet (Rev 1),,Rev 1,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntlet,Gauntlet (Rev 14),,Rev 14,no,,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntletr2,Gauntlet (Rev 2),,Rev 2,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntletr4,Gauntlet (Rev 4),,Rev 4,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntletr5,Gauntlet (Rev 5),,Rev 5,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntletr7,Gauntlet (Rev 7),,Rev 7,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gauntletr9,Gauntlet (Rev 9),,Rev 9,yes,Gauntlet,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gaunt2,Gauntlet II,,,no,,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gaunt22p1,"Gauntlet II (2 Players, Rev 1)",,"2 Players, Rev 1",yes,Gauntlet II,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gaunt22p,"Gauntlet II (2 Players, Rev 2)",,"2 Players, Rev 2",yes,Gauntlet II,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gaunt22pg,"Gauntlet II (DE, 2 Players)",Germany,2 Players,yes,Gauntlet II,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gaunt2g,Gauntlet II (DE),Germany,,yes,Gauntlet II,,Gauntlet,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,4,8-way,,2,
gaylaxn,Gaylaxian [hb],,,yes,Galaxian,,,yes,no,1979,The Dog,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
gemini,Gemini Wing,,,no,,Tecmo,,no,no,1987,Tecmo,Shooter - Vertical,,vertical (cw),yes,15kHz,,2 (simultaneous),8-way,,2,
gteikoku,Gingateikoku no Gyakushu,,,yes,UniWar S,,,no,no,1980,Irem,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
gteikokub,Gingateikoku no Gyakushu (Set 1) [bl],,Set 1,yes,UniWar S,,,no,yes,1980,,Shooter - Gallery,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
gteikokub2,Gingateikoku no Gyakushu (Set 2) [bl],,Set 2,yes,UniWar S,,,no,yes,1980,,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
gteikokub3,Gingateikoku no Gyakushu (Set 3) [bl],,Set 3,yes,UniWar S,,,no,yes,1980,Honly,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
gorf,Gorf,,,no,,,,no,no,1981,Dave Nutting Associates / Midway,Shooter - Gallery,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,1,
gorf,Gorf (Program 1),,Program 1,no,,,,no,no,1981,Dave Nutting Associates / Midway,Shooter - Gallery,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,1,
gorf,Gorf (Speech),,Speech,no,,,,no,no,1981,Dave Nutting Associates / Midway,Shooter - Gallery,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,1,
gorkans,Gorkans,,,no,,,,no,no,1983,Techstar,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
gorodki,Gorodki,,,no,,,,no,no,1988,Terminal,Action,,horizontal,,15kHz,,1,2-way horizontal,,2,
gravitar,Gravitar (Ver 3),,Ver 3,no,,,,no,no,1982,Atari,Lander,,horizontal,,31kHz,,1,2-way horizontal,,3,
gberet,Green Beret,,,no,,,,no,no,1985,Konami,Run 'n' Gun - Horizontal,,horizontal,,15kHz,,2 (alternating),8-way,,2,
grobda,"Grobda (W, New Ver.)",World,New Ver.,yes,n/a,,,no,no,1984,Namco,Shooter - Multidirectional,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
gunfight,Gun Fight,,,no,,,,no,no,1975,Dave Nutting Associates / Midway,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,0,
guwange,Guwange,World,Special,yes,Guwange,CAVE 68000,,no,no,1999,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
guwange,Guwange,World,,no,,CAVE 68000,,no,no,1999,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
gyruss,Gyruss,,,yes,Gyruss,,,no,no,1983,Konami,Shooter - Tube,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
gyrussce,Gyruss (Centuri),,Centuri,yes,Gyruss,,,no,no,1983,Konami / Centuri,Shooter - Tube,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
gyrussb,Gyruss [bl],,,yes,Gyruss,,,no,yes,1983,Konami,Shooter - Tube,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
handiman,Handi-Man in Cyberworld [hb],,,yes,Tron,Midway MCR,,yes,no,1980,Bobby Tribble,Maze,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
hangonjr,Hang-On Jr. (Rev. B),,Rev. B,no,,Sega System E,,no,no,1985,Sega,Racing,,horizontal,,15kHz,,1,,Spinner,2,
fasthang,Hangly Man (Fast) [hb],,Fast,yes,Pac-Man,,,yes,no,1980,Nittoh,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
hm1000,Hangly Man 1000 [hb],,,yes,Pac-Man,,,yes,no,1980,Nittoh,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
hm2000,Hangly Man 2000 [hb],,,yes,Pac-Man,,,yes,no,1980,Nittoh,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
hmba5000,Hangly Man Babies 5000 [hb],,,yes,Pac-Man,,,yes,no,1980,Nittoh,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
hmba7000,Hangly Man Babies 7000 [hb],,,yes,Pac-Man,,,yes,no,1980,Nittoh,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
hmbabymz,Hangly Man BabiesMaze [hb],,,yes,Pac-Man,,,yes,no,1980,Nittoh,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
hmbluep,Hangly Man Blue Plus [hb],,,yes,Pac-Man,,,yes,no,1980,Nittoh,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
hmgrenp,Hangly Man Green Plus [hb],,,yes,Pac-Man,,,yes,no,1980,Nittoh,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
hmplus,Hangly Man Plus [hb],,,yes,Pac-Man,,,yes,no,1980,Nittoh,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
